SalesOrderID,SalesOrderDetailID,ProductID,UnitPrice,OrderQty,SalesAmount,ModifiedDate,CustomerID,City,StateProvince,CountryName
65160,88592,999,323.994,5,1619.97,1/29/2014,29957,Union City,California,United States
65160,88599,798,672.294,1,672.294,1/29/2014,29957,Union City,California,United States
65160,88609,836,356.898,2,713.796,1/29/2014,29957,Union City,California,United States
65164,88666,743,809.76,1,809.76,1/29/2014,29950,Toronto,Ontario,Canada
65164,88683,880,32.994,6,197.964,1/29/2014,29950,Toronto,Ontario,Canada
65167,88701,836,356.898,2,713.796,1/29/2014,29696,Upland,California,United States
65167,88707,999,323.994,1,323.994,1/29/2014,29696,Upland,California,United States
65173,88792,997,323.994,2,647.988,1/29/2014,29639,Toronto,Ontario,Canada
65173,88796,799,672.294,1,672.294,1/29/2014,29639,Toronto,Ontario,Canada
65174,88805,748,818.7,3,2456.1,1/29/2014,29722,Toronto,Ontario,Canada
65174,88808,925,149.874,1,149.874,1/29/2014,29722,Toronto,Ontario,Canada
65174,88837,743,809.76,3,2429.28,1/29/2014,29722,Toronto,Ontario,Canada
65174,88844,951,242.994,5,1214.97,1/29/2014,29722,Toronto,Ontario,Canada
65175,88853,836,356.898,1,356.898,1/29/2014,30105,Springfield,Oregon,United States
65177,88881,836,356.898,3,1070.694,1/29/2014,29796,Liverpool,England,United Kingdom
65177,88887,835,356.898,5,1784.49,1/29/2014,29796,Liverpool,England,United Kingdom
65178,88923,798,672.294,2,1344.588,1/29/2014,29528,Southgate,Michigan,United States
65183,88975,799,672.294,2,1344.588,1/29/2014,29842,Scottsdale,Arizona,United States
65184,88990,961,445.41,1,445.41,1/29/2014,29653,Santa Fe,New Mexico,United States
65188,89009,925,149.874,1,149.874,1/29/2014,29499,Richmond,British Columbia,Canada
65189,89038,893,602.346,3,1807.038,1/29/2014,29557,Richmond,British Columbia,Canada
65189,89044,880,32.994,4,131.976,1/29/2014,29557,Richmond,British Columbia,Canada
65191,89091,961,445.41,3,1336.23,1/29/2014,29488,Rhodes,New South Wales,Australia
65195,89116,986,338.994,1,338.994,1/29/2014,29891,Novi,Michigan,United States
65199,89149,961,445.41,2,890.82,1/29/2014,29843,Bellingham,Washington,United States
65200,89163,951,242.994,5,1214.97,1/29/2014,29559,Bellevue,Washington,United States
65200,89164,925,149.874,2,299.748,1/29/2014,29559,Bellevue,Washington,United States
65200,89174,905,218.454,4,873.816,1/29/2014,29559,Bellevue,Washington,United States
65201,89196,951,242.994,2,485.988,1/29/2014,29917,Berlin,Saarland,Germany
65201,89201,961,445.41,8,3563.28,1/29/2014,29917,Berlin,Saarland,Germany
65205,89234,799,672.294,4,2689.176,1/29/2014,29486,Branch,Minnesota,United States
65206,89260,905,218.454,4,873.816,1/29/2014,29770,Burnaby,British Columbia,Canada
